sample	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10
Z001E0001	0.329317122794128	0.260934557073103	0.44308338650803	0.383876536531204	0.163430559440784	0.217195631211739	0.379975158983912	0.678454052737609	0.471375954992705	0.315003725966965
Z001E0002	-0.292827543113184	-0.370731330784557	-0.417883870634698	-0.431410749803854	-0.469792726937578	-0.836110253225759	-0.584805987992836	-0.444083139233438	-0.439138381803599	-0.63109223998231
Z001E0003	-0.346745072576063	-0.317052656287244	-0.357048398278881	-0.540337980217962	-0.690257733904264	-0.413350139021212	-0.477494601736665	-0.583386295886506	-0.529184125359774	-0.586019474929175
Z001E0004	0.345576628314690	0.546024465229852	0.322015029025779	0.595222284701668	0.253925315918445	0.583534561080434	0.428354119207174	0.404340842139250	0.54040307529752	0.598064218204097
Z001E0005	0.191645185561271	2.47499867312582e-05	0.0893255758867142	0.111044780650581	-0.168751716372618	-0.0755443743445736	-0.00253303412445742	0.241509496871108	0.0938979033724553	0.0359894550233063
Z001E0006	-0.364305697596395	-0.228355337527826	-0.518326646374521	-0.329481626015149	-0.317296692443931	-0.227816870444863	-0.496248477167748	-0.773191426070324	-0.394333533892778	-0.320554075665237
Z001E0007	0.470853422131548	0.500926778917366	0.55430830053732	0.619381989358267	0.758257834481378	0.405978941335753	0.627128473741387	0.342332159886632	0.696954359172737	0.52615525648469
Z001E0008	-0.343957105800412	-0.218806250092583	-0.262442215007076	-0.373275976443943	-0.459360557939568	-0.432195639390279	-0.091150843882427	0.0913423811823274	-0.207818374179747	-0.191380496015785
Z001E0009	0.697338788914822	0.77726743027767	0.713840228576104	0.723473280798744	0.855987506995201	0.756115805169054	0.5021528143095	0.369528536470758	0.704817691482571	0.552267725441421
Z001E0010	-0.681582752060345	-0.680758298917818	-0.523503295817651	-0.464809817483228	-0.532406171514087	-0.552325916857052	-0.37727925074629	-0.713473601504358	-0.612609688344748	-0.665599428847176
Z001E0011	0.644573401738845	0.485640269541461	0.595810992525441	0.614542760284304	0.729423511502510	0.646254216470936	0.449191505987519	0.408788258835771	0.580813536339373	0.402962852417323
Z001E0012	-0.203532264839930	-0.412484388747273	-0.206104046518895	-0.335599529189368	-0.305608904002553	-0.0744234429685074	-0.424459237383413	-0.266806548845528	-0.251065528596488	-0.458092577834802
Z001E0013	-0.154575106479302	-0.118382707356009	-0.0145225889981257	-0.124579274298061	-0.213745444515517	-0.180305982688566	-0.0174184371868960	0.000153893589099552	-0.0169331935092709	-0.142581653402633
Z001E0014	1.04660933697630	1.17223513672181	0.916627340086836	1.16534260103751	1.20866846171178	0.865058759267431	1.20765541685606	1.04334934632814	1.02540133378732	1.18181936384204
Z001E0015	0.424169150070211	0.629469369497922	0.324899641300229	0.314218467345389	0.197055721413052	0.636291811562016	0.332888520729698	0.706993300270974	0.3988811999422	0.558583260710901
Z001E0016	0.933094213175552	0.80451352628221	0.746099231924118	0.920649306741456	0.666099590393732	0.978343307859304	0.749647281085033	0.800181825030698	0.886923357176726	0.982983154238612
Z001E0017	-0.365874482020643	-0.40503570838497	-0.484486986051681	-0.581424189506556	-0.720513753509396	-0.538605865154439	-0.510183629740534	-0.317228198652358	-0.493324458378224	-0.352897216670138
Z001E0018	-0.106055780391961	0.0878662646229214	0.0431069479617220	-0.266734662070077	0.178807876151758	-0.170864671964704	-0.195262785730886	-0.00765186027931572	-0.0601675287478706	-0.275415212272099
Z001E0019	-0.262398332023227	-0.29201795554765	-0.0682070143476925	-0.190634437904094	-0.118230835464563	-0.273108627795608	-0.119435084773088	0.0402057807692115	-0.216373824070828	-0.199073775963458
Z001E0020	0.0202483497886535	0.0648646731262806	0.0340736366086969	-0.0265096717179397	0.249009992456291	-0.000860895576155933	0.115096346149675	0.244556131203243	0.0406131847095308	-0.0286624155532581
Z001E0021	0.286589178785714	0.0702574201193689	0.151324101486730	0.165793333702142	0.190059729283670	0.237036216170293	0.330532527108794	0.286513541877238	0.169891669178662	0.210344739887466
Z001E0022	-0.743710020878625	-0.777150596272298	-0.793811748115984	-0.782361908079956	-0.853033764014294	-0.712385102607928	-0.672157969621448	-0.832431662430194	-0.766715011477368	-0.657763105251296
Z001E0023	0.0249602266135242	0.0247180185455217	0.044027028029767	-0.098431909112964	-0.0678820220465695	0.0487562239404079	0.0423064137539071	-0.181129110217152	-0.0129788854714377	-0.153047818919010
Z001E0024	-0.285751201671921	-0.224148610540676	-0.0230126997274146	-0.197100220031322	0.00877531100249491	-0.18799895623019	-0.377187604088708	-0.520786201860983	-0.165938595366821	-0.349916916517326
Z001E0025	0.298236232448242	0.124560358778213	0.427331801340056	0.134913307710785	0.259267728681031	0.26522205018796	0.212848390539012	-0.0438139146544681	0.128965237175547	0.323660450155004
Z001E0027	-0.427838155547548	-0.396220698632712	-0.135254496513767	-0.358988633411759	-0.230422046173152	-0.307435691172359	-0.262965749964876	-0.433829392800455	-0.40473179181422	-0.183722838150138
Z001E0028	1.15592301834609	1.20837158110996	1.40196611096134	1.16567340646956	1.2346549997647	1.16214834461535	1.07831703069844	1.35629854479319	1.32205007591910	1.33231145122008
Z001E0029	0.189122736033480	0.185635696024056	0.267003963489225	0.356523555584904	0.313798574192419	0.388972021150998	0.212725839280641	0.345865423217953	0.258724478842751	0.218570415518085
Z001E0030	-0.556514400408609	-0.183356780083941	-0.186897818092007	-0.296072277131328	-0.480943557488126	-0.495236210828752	-0.510582688803855	-0.176582126640287	-0.325278813250440	-0.244425805519952
Z001E0031	-0.478775181279921	-0.538585560331896	-0.386541118706102	-0.529749925127194	-0.609970351202669	-0.57253835002718	-0.521210929737044	-0.668216574571662	-0.717408238809033	-0.669600420994716
Z001E0032	-0.633305799996045	-0.569580550891542	-0.448954326093061	-0.436799020591329	-0.296234834172689	-0.687229599333812	-0.439631469497095	-0.352471262230999	-0.572526977186434	-0.594717734223697
Z001E0033	0.383758443628639	0.478422117964954	0.584094347795355	0.562164174903278	0.366145455152874	0.239444891567458	0.50923610906768	0.529880163758353	0.517504719324068	0.619865173351806
Z001E0034	1.03756798306933	0.831280210498752	1.04056266744481	0.872907124079224	0.704369813511011	0.870823189175425	0.92190152272927	0.72773886285807	0.892832818447177	0.763761082303429
